Time,CO2_Temperature_Outlet,CO2_Temperature_Inlet,
2025/04/28 11:31:06.000,,-31.619998931885,
2025/04/28 11:32:32.000,-34.04999923706,,
2025/04/28 11:32:42.000,-33.939998626709,,
2025/04/28 11:33:05.000,-34.04999923706,-31.729999542236,
2025/04/28 11:33:22.000,-33.939998626709,,
2025/04/28 11:33:27.000,-34.04999923706,,
2025/04/28 11:33:39.000,-33.939998626709,,
2025/04/28 11:33:50.000,-34.04999923706,,
2025/04/28 11:33:55.000,-33.939998626709,,
2025/04/28 11:34:11.000,,-31.619998931885,
2025/04/28 11:34:17.000,-33.829998016357,,
2025/04/28 11:34:22.000,-33.939998626709,,
2025/04/28 11:34:34.000,-34.04999923706,,
2025/04/28 11:34:39.000,-33.939998626709,,
2025/04/28 11:35:40.000,-34.04999923706,,
2025/04/28 11:35:46.000,,-31.729999542236,
2025/04/28 11:37:06.000,-33.939998626709,,
2025/04/28 11:37:12.000,-34.04999923706,,
2025/04/28 11:37:23.000,-33.939998626709,,
2025/04/28 11:37:28.000,-34.04999923706,,
2025/04/28 11:37:34.000,-33.939998626709,,
2025/04/28 11:37:56.000,,-31.619998931885,
2025/04/28 11:38:07.000,-33.829998016357,,
2025/04/28 11:38:12.000,-34.04999923706,,
2025/04/28 11:38:17.000,-33.939998626709,,
2025/04/28 11:38:23.000,-34.04999923706,,
2025/04/28 11:38:34.000,-33.939998626709,,
2025/04/28 11:38:40.000,-34.04999923706,,
2025/04/28 11:38:46.000,-33.939998626709,,
2025/04/28 11:38:51.000,-34.04999923706,,
2025/04/28 11:39:02.000,,-31.729999542236,
2025/04/28 11:39:30.000,-34.159999847412,,
2025/04/28 11:39:35.000,-34.04999923706,,
2025/04/28 11:39:46.000,-34.159999847412,,
2025/04/28 11:40:04.000,,-31.840000152588,
2025/04/28 11:40:09.000,-34.04999923706,,
2025/04/28 11:40:15.000,-34.159999847412,-31.729999542236,
2025/04/28 11:40:21.000,-34.04999923706,,
2025/04/28 11:40:43.000,-34.159999847412,,
2025/04/28 11:40:55.000,,-31.840000152588,
2025/04/28 11:41:00.000,-34.04999923706,-31.729999542236,
2025/04/28 11:41:06.000,-34.159999847412,-31.840000152588,
2025/04/28 11:41:36.000,-34.270000457764,,
2025/04/28 11:41:47.000,-34.159999847412,,
2025/04/28 11:42:05.000,-34.270000457764,-31.949998855591,
2025/04/28 11:43:29.000,-34.380001068115,,
2025/04/28 11:43:35.000,-34.270000457764,,
2025/04/28 11:43:52.000,-34.380001068115,,
2025/04/28 11:44:27.000,,-32.059997558594,
2025/04/28 11:44:39.000,-34.48999786377,,
2025/04/28 11:45:25.000,,-32.169998168945,
2025/04/28 11:45:59.000,-34.599998474121,,
2025/04/28 11:46:05.000,-34.48999786377,,
2025/04/28 11:46:51.000,-34.599998474121,,
2025/04/28 11:47:31.000,-34.709999084473,,
2025/04/28 11:47:37.000,,-32.279998779297,
2025/04/28 11:48:08.000,-34.819999694824,,
2025/04/28 11:48:14.000,,-32.389999389648,
2025/04/28 11:48:37.000,-34.709999084473,,
2025/04/28 11:49:06.000,-34.819999694824,,
2025/04/28 11:49:23.000,-34.709999084473,,
2025/04/28 11:49:34.000,-34.599998474121,,
2025/04/28 11:49:40.000,-34.48999786377,-32.279998779297,
2025/04/28 11:49:51.000,-34.380001068115,-32.169998168945,
2025/04/28 11:49:56.000,-34.270000457764,,
2025/04/28 11:50:02.000,,-32.059997558594,
2025/04/28 11:50:07.000,-34.159999847412,,
2025/04/28 11:50:13.000,-34.04999923706,-31.949998855591,
2025/04/28 11:50:19.000,-33.939998626709,-31.840000152588,
2025/04/28 11:50:31.000,,-31.729999542236,
2025/04/28 11:50:37.000,-33.829998016357,,
2025/04/28 11:50:42.000,,-31.619998931885,
2025/04/28 11:50:48.000,-33.709999084473,,
2025/04/28 11:50:54.000,-33.599998474121,-31.5,
2025/04/28 11:50:59.000,,-31.389999389648,
2025/04/28 11:51:10.000,-33.380001068115,,
2025/04/28 11:51:16.000,-33.48999786377,-31.279998779297,
2025/04/28 11:51:33.000,-33.380001068115,,
2025/04/28 11:51:38.000,,-31.170000076294,
2025/04/28 11:51:44.000,-33.270000457764,,
2025/04/28 11:51:49.000,-33.380001068115,,
2025/04/28 11:51:55.000,-33.270000457764,-31.059999465942,
2025/04/28 11:52:00.000,-33.159999847412,,
2025/04/28 11:52:05.000,-33.270000457764,,
2025/04/28 11:52:11.000,-33.159999847412,,
2025/04/28 11:52:16.000,-33.270000457764,,
2025/04/28 11:52:22.000,-33.159999847412,,
2025/04/28 11:52:28.000,,-30.949998855591,
2025/04/28 11:52:34.000,-33.04999923706,,
2025/04/28 11:52:52.000,,-30.840000152588,
2025/04/28 11:52:57.000,-32.939998626709,,
2025/04/28 11:53:03.000,-33.04999923706,,
2025/04/28 11:53:25.000,-32.939998626709,,
2025/04/28 11:53:30.000,,-30.729999542236,
2025/04/28 11:54:15.000,-32.829998016357,,
2025/04/28 11:54:21.000,,-30.619998931885,
2025/04/28 11:54:50.000,-32.719997406006,,
2025/04/28 11:55:07.000,,-30.510000228882,
2025/04/28 11:55:19.000,,-30.619998931885,
2025/04/28 11:55:25.000,-32.829998016357,,
2025/04/28 11:55:54.000,,-30.510000228882,
2025/04/28 11:56:00.000,-32.719997406006,,
2025/04/28 11:56:05.000,-32.829998016357,,
2025/04/28 11:56:11.000,-32.719997406006,,
2025/04/28 11:56:16.000,-32.829998016357,-30.619998931885,
2025/04/28 11:56:40.000,-32.719997406006,,
2025/04/28 11:56:45.000,-32.829998016357,,
2025/04/28 11:58:34.000,-32.719997406006,,
2025/04/28 11:58:39.000,-32.829998016357,,
2025/04/28 11:59:36.000,-32.939998626709,,
2025/04/28 11:59:53.000,,-30.729999542236,
2025/04/28 12:00:05.000,-32.829998016357,,
2025/04/28 12:00:11.000,-32.939998626709,,
2025/04/28 12:00:16.000,-32.829998016357,,
2025/04/28 12:00:22.000,-32.939998626709,,
2025/04/28 12:00:51.000,-33.04999923706,,
2025/04/28 12:00:57.000,-32.939998626709,,
2025/04/28 12:01:03.000,-33.04999923706,,
2025/04/28 12:01:08.000,-32.939998626709,,
2025/04/28 12:01:14.000,-33.04999923706,,
2025/04/28 12:01:36.000,,-30.840000152588,
2025/04/28 12:01:48.000,-33.159999847412,,
2025/04/28 12:02:05.000,-33.270000457764,,
2025/04/28 12:02:11.000,,-30.949998855591,
2025/04/28 12:02:28.000,-33.380001068115,-31.059999465942,
2025/04/28 12:02:40.000,-33.270000457764,,
2025/04/28 12:03:08.000,-33.380001068115,,
2025/04/28 12:03:14.000,-33.270000457764,,
2025/04/28 12:03:20.000,-33.380001068115,,
2025/04/28 12:03:25.000,-33.270000457764,,
2025/04/28 12:03:31.000,-33.380001068115,,
2025/04/28 12:03:54.000,,-31.170000076294,
2025/04/28 12:03:59.000,-33.48999786377,,
2025/04/28 12:04:22.000,-33.599998474121,,
2025/04/28 12:04:28.000,-33.48999786377,-31.279998779297,
2025/04/28 12:04:34.000,-33.599998474121,,
2025/04/28 12:04:56.000,-33.709999084473,,
2025/04/28 12:05:02.000,,-31.389999389648,
2025/04/28 12:05:26.000,-33.829998016357,,
2025/04/28 12:05:31.000,,-31.5,
2025/04/28 12:05:42.000,-33.709999084473,,
2025/04/28 12:06:11.000,-33.829998016357,,
2025/04/28 12:07:06.000,-33.939998626709,,
2025/04/28 12:07:11.000,,-31.619998931885,
2025/04/28 12:07:17.000,-33.829998016357,,
2025/04/28 12:07:23.000,,-31.5,
2025/04/28 12:07:28.000,-33.939998626709,-31.619998931885,
2025/04/28 12:07:34.000,-33.829998016357,,
2025/04/28 12:07:51.000,-33.939998626709,,
2025/04/28 12:07:56.000,-33.829998016357,,
2025/04/28 12:08:01.000,-33.939998626709,,
2025/04/28 12:08:12.000,-33.829998016357,,
2025/04/28 12:08:39.000,-33.939998626709,,
2025/04/28 12:09:28.000,-34.04999923706,,
2025/04/28 12:09:33.000,-33.939998626709,,
2025/04/28 12:09:45.000,-34.04999923706,,
2025/04/28 12:09:56.000,,-31.729999542236,
2025/04/28 12:10:02.000,-34.159999847412,,
2025/04/28 12:10:07.000,-34.04999923706,-31.619998931885,
2025/04/28 12:10:13.000,,-31.729999542236,
2025/04/28 12:10:25.000,-33.939998626709,,
2025/04/28 12:10:30.000,-34.04999923706,,
2025/04/28 12:11:04.000,,-31.619998931885,
2025/04/28 12:11:15.000,-33.939998626709,-31.729999542236,
2025/04/28 12:11:26.000,-34.04999923706,-31.619998931885,
2025/04/28 12:11:32.000,,-31.729999542236,
2025/04/28 12:12:16.000,,-31.619998931885,
2025/04/28 12:12:21.000,,-31.729999542236,
2025/04/28 12:12:32.000,-34.159999847412,,
2025/04/28 12:12:44.000,-34.04999923706,,
2025/04/28 12:12:50.000,-34.159999847412,,
2025/04/28 12:13:18.000,,-31.840000152588,
2025/04/28 12:13:58.000,-34.04999923706,,
2025/04/28 12:14:03.000,-34.159999847412,,
2025/04/28 12:14:20.000,,-31.729999542236,
2025/04/28 12:14:25.000,,-31.840000152588,
2025/04/28 12:14:30.000,,-31.729999542236,
2025/04/28 12:14:36.000,-34.04999923706,,
2025/04/28 12:14:47.000,-34.159999847412,,
2025/04/28 12:14:58.000,,-31.840000152588,
2025/04/28 12:15:04.000,-34.270000457764,,
2025/04/28 12:15:09.000,-34.159999847412,,
2025/04/28 12:15:41.000,-34.270000457764,,
2025/04/28 12:15:53.000,-34.159999847412,,
2025/04/28 12:15:58.000,-34.270000457764,,
2025/04/28 12:16:37.000,,-31.949998855591,
2025/04/28 12:16:47.000,-34.159999847412,,
2025/04/28 12:16:53.000,-34.270000457764,,
2025/04/28 12:17:20.000,,-31.840000152588,
2025/04/28 12:17:26.000,,-31.949998855591,
2025/04/28 12:18:29.000,-34.380001068115,,
2025/04/28 12:19:02.000,-34.48999786377,,
2025/04/28 12:19:08.000,-34.380001068115,,
2025/04/28 12:19:13.000,-34.48999786377,-32.059997558594,
2025/04/28 12:20:17.000,,-32.169998168945,
2025/04/28 12:20:22.000,-34.380001068115,-32.059997558594,
2025/04/28 12:20:28.000,-34.48999786377,,
2025/04/28 12:21:19.000,-34.599998474121,,
2025/04/28 12:21:24.000,-34.48999786377,,
2025/04/28 12:21:30.000,-34.599998474121,-32.169998168945,
2025/04/28 12:22:20.000,-34.709999084473,,
2025/04/28 12:22:26.000,,-32.279998779297,
2025/04/28 12:22:32.000,-34.599998474121,-32.169998168945,
2025/04/28 12:22:37.000,-34.709999084473,-32.279998779297,
2025/04/28 12:22:43.000,-34.599998474121,,
2025/04/28 12:22:49.000,-34.709999084473,,
2025/04/28 12:23:05.000,-34.599998474121,,
2025/04/28 12:23:10.000,-34.709999084473,,
2025/04/28 12:23:22.000,-34.599998474121,,
2025/04/28 12:23:28.000,,-32.169998168945,
2025/04/28 12:23:40.000,-34.709999084473,,
2025/04/28 12:24:09.000,-34.599998474121,,
2025/04/28 12:24:15.000,-34.709999084473,,
2025/04/28 12:24:21.000,,-32.279998779297,
2025/04/28 12:24:32.000,,-32.169998168945,
2025/04/28 12:24:38.000,,-32.279998779297,
2025/04/28 12:25:23.000,-34.819999694824,,
2025/04/28 12:25:29.000,-34.709999084473,,
2025/04/28 12:25:34.000,-34.819999694824,,
2025/04/28 12:25:58.000,-34.709999084473,,
2025/04/28 12:26:16.000,-34.819999694824,,
2025/04/28 12:26:22.000,-34.709999084473,,
2025/04/28 12:26:45.000,-34.819999694824,,
2025/04/28 12:26:51.000,-34.709999084473,,
2025/04/28 12:27:12.000,-34.819999694824,,
2025/04/28 12:27:18.000,-34.709999084473,,
2025/04/28 12:27:24.000,-34.819999694824,,
2025/04/28 12:27:30.000,-34.709999084473,,
2025/04/28 12:27:36.000,-34.819999694824,,
2025/04/28 12:27:52.000,-34.709999084473,,
2025/04/28 12:27:58.000,-34.819999694824,,
2025/04/28 12:28:03.000,,-32.389999389648,
2025/04/28 12:28:08.000,-34.930000305176,,
2025/04/28 12:28:14.000,-34.819999694824,,
2025/04/28 12:28:20.000,-34.930000305176,,
2025/04/28 12:28:25.000,-34.819999694824,,
2025/04/28 12:28:30.000,-34.930000305176,,
2025/04/28 12:29:09.000,-34.819999694824,,
2025/04/28 12:29:14.000,-34.930000305176,,
2025/04/28 12:29:20.000,-34.819999694824,,
2025/04/28 12:29:26.000,-34.930000305176,,
2025/04/28 12:29:32.000,-34.819999694824,,
2025/04/28 12:30:16.000,-34.930000305176,,
2025/04/28 12:30:21.000,-34.819999694824,,
2025/04/28 12:30:33.000,-34.930000305176,,
2025/04/28 12:30:39.000,-34.819999694824,,
